Item Id,SKU,Size,Style,Brand,Size Type,Sleeve Type,Neckline,Sleeve Length,Pattern,Material,Type,Accents,Color,Theme,Features,Fabric Type,Occasion,Department,Closure,Character,Strap Type,Season,Fit,Personalize,Country/Region of Manufacture,Vintage,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"255008785319","","S",,,,,,,,,,,"White",,,,,,,,,,,,,,,,,,,
"255008785319","","S",,,,,,,,,,,"Blue",,,,,,,,,,,,,,,,,,,
"255008785319","","M",,,,,,,,,,,"Red",,,,,,,,,,,,,,,,,,,
"255008785319","","M",,,,,,,,,,,"Blue",,,,,,,,,,,,,,,,,,,
"255008785319","","M",,,,,,,,,,,"White",,,,,,,,,,,,,,,,,,,
"255008785319","","L",,,,,,,,,,,"Red",,,,,,,,,,,,,,,,,,,
"255008785319","","L",,,,,,,,,,,"Blue",,,,,,,,,,,,,,,,,,,
"255008785319","","L",,,,,,,,,,,"White",,,,,,,,,,,,,,,,,,,
"255008785319","","XL",,,,,,,,,,,"Red",,,,,,,,,,,,,,,,,,,
"255008785319","","XL",,,,,,,,,,,"Blue",,,,,,,,,,,,,,,,,,,
"255008785319","","XL",,,,,,,,,,,"White",,,,,,,,,,,,,,,,,,,
"255508848485","308133",,"Tank Top","Unbranded","Regular","sleeveless","Scoop Neck","Sleeveless","cow print, leopard print","Polyester","Tank","Cow Leopard","Black,brown,white","Animal Prints","Collarless","","Casual","Women","","Ladies Tank Tops","","","Regular","","","No","","","","Cow and Leopard","",
"255508848485","308136","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255508848485","308135","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255508848485","308134","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255508848485","308137","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
