Item Id,SKU,Brand,Type,Suitable For,Features,Items included,Number of Batteries,Number of User Codes,Number in Pack,Material,Shape,Color,Mounting,Battery Size,Finish,Extension Length,Closing Type,Item Width,Center-to-Center Measurement,Battery Required,Fixings Supplied,Item Height,Item Length,Item Depth,Country/Region of Manufacture,Item Diameter,Door Handing,Smart Home Compatibility,Smart Home Protocol,Load Capacity,Core Type,MPN,Model,ANSI Grade,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Weight,Manufacturer Warranty,
"255488687233","ZX9TPNTD239446","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1621546","","","","","","","",
"265644643969","ZX9TPNTD239468","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1621548","","","","","","","",
"265639715349","ZX9TPNTD239396","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1628693","","","","","","","",
"255483652767","ZX9TPNTD239498","OpenSkies","Furniture & Decor","","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","OP2005178","","","","","","","",
"255483655659","ZX9TPNTD239483","OpenSkies","Furniture & Decor","","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","OP1621549","","","","","","","",
"265639712456","ZX9TPNTD239390","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1629983","","","","","","","",
"255476938266","ZX9TPNTD239389","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2056339","","","","","","","",
"265634265976","ZX9TPNTD239393","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2178053","","","","","","","",
"255488671312","ZX9TPNTD239395","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1628692","","","","","","","",
"265644484751","ZX9TPNTD239394","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1629984","","","","","","","",
"265634261213","ZX9TPNTD239398","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2178054","","","","","","","",
"265639559768","ZX9TPNTD239423","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2063966","","","","","","","",
"255488729819","ZX9TPNTD239448","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2001746","","","","","","","",
"255483892401","ZX9TPNTD239469","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2056342","","","","","","","",
"255483722801","ZX9TPNTD239495","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2063968","","","","","","","",
"265634268019","ZX9TPNTD239399","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP2178055","","","","","","","",
"255488712792","ZX9TPNTD239422","OpenSkies","Furniture & Decor","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","OP1621544","","","","","","","",
"255488737470","ZX9TPNTD236467","New CourtYard","Furniture & Decor","","","","","","","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","NE2001682","","","","","","","",
"265644525500","ZX9TPNTD240632","Gan Eden","Furniture & Decor","Commercial","Commercial","","3","3","3","Bronze","","","","","Bronze","","","","","","","","","","","","","","","","","GA1635235","","","","","","","",
"255483859030","ZX9TPNTD240647","Gan Eden","Furniture & Decor","Commercial","Commercial","","3","3","3","Stainless Steel","","","","","Satin","","","","","","","","","","","","","","","","","GA1635237","","","","","","","",
"255483726354","ZX9TPNTD240634","Gan Eden","Furniture & Decor","Commercial","Commercial","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","GA1628714","","","","","","","",
