Item Id,SKU,Type,Material,Style,Features,Color,Brand,Room,Number of Panels,Theme,Mounting,Country/Region of Manufacture,Pattern,Item Height,Item Length,Orientation,Department,Item Width,Additional Parts Required,MPN,Model,Item Weight,Custom Bundle,Care Instructions,Customized,Product Line,Bundle Description,California Prop 65 Warning,
"255489018787","SCRNGEM368","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-173","","","","","","","","",
"255539200728","SCRNGEM369","Decor","","","","Blue","Screen Gems","","","","","","","","","","","","","SG-174","","","","","","","","",
"265680009583","SCRNGEM371","Decor","Marble","","","Black","Screen Gems","","","","","","","","","","","","","SG-176","","","","","","","","",
"255513037393","SCRNGEM373","Decor","","","","Black","Screen Gems","","3","","","","","","","","","","","SG-178","","","","","","","","",
"255518270698","SCRNGEM375","Decor","","","","","Screen Gems","","","English","","","","","","","","","","SG-179","","","","","","","","",
"265665304059","SCRNGEM381","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-184","","","","","","","","",
"255541711568","SCRNGEM384","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-188","","","","","","","","",
"265690777598","SCRNGEM336","Decor","Rattan","","","","Screen Gems","","3","","","","","","","","","","","SG-196","","","","","","","","",
"265669121256","SCRNGEM389","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-201","","","","","","","","",
"255541714020","SCRNGEM390","Decor","","","","White","Screen Gems","","","","","","","","","","","","","SG-202","","","","","","","","",
"265684736863","SCRNGEM391","Decor","","","","Black","Screen Gems","","","","","","","","","","","","","SG-203","","","","","","","","",
"265644909530","SCRNGEM392","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-204","","","","","","","","",
"255524276848","SCRNGEM400","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-211","","","","","","","","",
"255523981808","SCRNGEM403","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-215","","","","","","","","",
"255513121602","SCRNGEM405","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-217","","","","","","","","",
"265684842326","SCRNGEM406","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-218","","","","","","","","",
"255539176810","SCRNGEM407","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-219","","","","","","","","",
"255524267391","SCRNGEM067","Decor","Pine","","","","Screen Gems","","","","","","","","","","","","","SG-22","","","","","","","","",
"265697858372","SCRNGEM408","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-220","","","","","","","","",
"255534530281","SCRNGEM409","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-221","","","","","","","","",
"265698061916","SCRNGEM411","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-223","","","","","","","","",
"255509854493","SCRNGEM412","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-224","","","","","","","","",
"255513325326","SCRNGEM413","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-231","","","","","","","","",
"265690730604","SCRNGEM416","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-234","","","","","","","","",
