Item Id,SKU,Brand,Type,Features,Installation Area,Number in Pack,Power Source,Lighting Technology,Smart Home Compatibility,Number of Speeds,Bulb Wattage,Control Style,Color,Material,Energy Star,Mounting,Bulb Shape Code,Current Type,Power Consumption,Connectors,Item Weight,Finish,Smart Home Protocol,Personalize,Voltage,Compatible Brand,Personalized,Year Manufactured,Assembly Required,IP Rating,Model,Item Width,Compatible Product,Country/Region of Manufacture,Item Height,Item Length,MPN,EC Range,California Prop 65 Warning,Custom Bundle,Bundle Description,Compatible Model,LED Chip Code,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Theme,Personalization Instructions,
"265603523812","DBMRL9699","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-BZ","","","","","","","","","","","",
"265603582230","DBMRL9704","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-BZ-FROST","","","","","","","","","","","",
"265603583247","DBMRL9709","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-VG","","","","","","","","","","","",
"255444504514","DBMRL9708","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-VG-FROST","","","","","","","","","","","",
"255444413750","DBMRL9707","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-W","","","","","","","","","","","",
"265603529018","DBMRL9706","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-W-FROST","","","","","","","","","","","",
"265603621376","DBMRL9744","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM212-LED16-B","","","","","","","","","","","",
"265603570276","DBMRL9743","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM212-LED16-BZ","","","","","","","","","","","",
"255444414402","DBMRL9742","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM212-LED16-DS","","","","","","","","","","","",
"265603524285","DBMRL9741","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM212-LED16-VG","","","","","","","","","","","",
"265603592242","DBMRL8794","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","Frosted","","","","","","","","","","","","","","","GM224-B","","","","","","","","","","","",
"255444423034","DBMRL8795","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","G","","","","","","","Frosted","","","","","","","","","","","","","","","GM224-BZ","","","","","","","","","","","",
"265612041470","DBMRL9754","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","Frosted","","","","","","","","","","","","","","","GM224-LED16-B","","","","","","","","","","","",
"255453137170","DBMRL9753","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM224-LED16-BZ","","","","","","","","","","","",
"265612017385","DBMRL9752","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM224-LED16-VG","","","","","","","","","","","",
"255453115829","DBMRL9757","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","GM224-LED30-B","","","","","","","","","","","",
"255453128667","DBMRL9756","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","GM224-LED30-BZ","","","","","","","","","","","",
"255444466184","DBMRL9755","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","G","","","","","","","Frosted","","","","","","","","","","","","","","","GM224-VG","","","","","","","","","","","",
"265603539611","DBMRL8283","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","B","","","","","","","","","","","","","","","","","","","","","","GM285-LED16-B","","","","","","","","","","","",
"265600139689","DBMRL8282","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM285-LED16-VG","","","","","","","","","","","",
"255440701087","DBMRL9765","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM285-LED16-W","","","","","","","","","","","",
"255444410194","DBMRL9764","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","GM286-B","","","","","","","","","","","",
"265603602430","DBMRL9763","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM286-VG","","","","","","","","","","","",
"255444395878","DBMRL9762","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","GM286-W","","","","","","","","","","","",
"265600131154","DBMRL9761","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","GM287-B","","","","","","","","","","","",
"255444423377","DBMRL9760","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM287-VG","","","","","","","","","","","",
"255444474105","DBMRL9771","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","GM287-W","","","","","","","","","","","",
"255444473308","DBMRL9783","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM480-LED16-B","","","","","","","","","","","",
"265603569189","DBMRL9782","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM480-LED16-VG","","","","","","","","","","","",
"255444531390","DBMRL9781","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM480-LED16-W","","","","","","","","","","","",
"265603525557","DBMRL9780","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM481-B","","","","","","","","","","","",
"265600133908","DBMRL9779","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM481-VG","","","","","","","","","","","",
"265603587404","DBMRL9778","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM481-W","","","","","","","","","","","",
"255444488371","DBMRL9789","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM482-B","","","","","","","","","","","",
"265603630628","DBMRL9788","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM482-VG","","","","","","","","","","","",
"255444519379","DBMRL9787","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM482-W","","","","","","","","","","","",
"265603589840","DBMRL8302","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM555-LED16-B","","","","","","","","","","","",
"265600135886","DBMRL8301","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","B","","","","","","","","","","","","","","","","","","","","","","GM555-LED16-BZ","","","","","","","","","","","",
"255444396601","DBMRL8300","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM555-LED16-VG","","","","","","","","","","","",
"265603528664","DBMRL8311","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM555-LED16-W","","","","","","","","","","","",
"265603555440","DBMRL8310","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","GM556-B","","","","","","","","","","","",
"265603527027","DBMRL8309","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM556-BZ","","","","","","","","","","","",
"255444454906","DBMRL8308","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM556-VG","","","","","","","","","","","",
"255444529925","DBMRL8307","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","GM556-W","","","","","","","","","","","",
"265600132603","DBMRL8306","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","GM557-B","","","","","","","","","","","",
"255444414872","DBMRL8317","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM557-BZ","","","","","","","","","","","",
"265603628935","DBMRL8316","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM557-VG","","","","","","","","","","","",
"255444405637","DBMRL8315","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","GM557-W","","","","","","","","","","","",
"265612019331","DBMRL8844","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM571-LED150-B","","","","","","","","","","","",
"265612041851","DBMRL9803","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","Aluminum","","","","","","","","","","","","","","","","","","","","","","","GM712-LED30-B","","","","","","","","","","","",
"265612031082","DBMRL9802","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","Aluminum","","","","","","","","","","","","","","","","","","","","","","","GM712-LED30-VG","","","","","","","","","","","",
"255453136459","DBMRL9807","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","Aluminum","","","","","","","","","","","","","","","","","","","","","","","GM812-LED30-BZ","","","","","","","","","","","",
"255453114841","DBMRL8347","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","Aluminum","","","","","","","","","","","","","","","","","","","","","","","GM812-LED30-VG","","","","","","","","","","","",
"255444526092","DBMRL8354","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM972-LED16-B","","","","","","","","","","","",
"255444423134","DBMRL8353","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM972-LED16-VG","","","","","","","","","","","",
"265603590178","DBMRL8364","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM973-B","","","","","","","","","","","",
"265603645135","DBMRL8363","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM973-VG","","","","","","","","","","","",
"265600140969","DBMRL8362","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM974-B","","","","","","","","","","","",
"255444411835","DBMRL8361","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM974-VG","","","","","","","","","","","",
"255440701439","DBMRL8366","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM982-LED16-B","","","","","","","","","","","",
