Item Id,SKU,Sensor Type,Type,Lighting Technology,Installation Area,Brand,Power Source,Features,Number of Lights,Power Consumption,Light Color,Voltage,Number of Settings,Color,Material,IP Rating,Smart Home Compatibility,Control Style,Finish,Mounting,Year Manufactured,Energy Star,Bulb Shape Code,Smart Home Protocol,Item Diameter,Amperage,Lumens,Country/Region of Manufacture,Assembly Required,Manufacturer Warranty,LED Chip Code,Labels & Certifications,MPN,EC Range,Model,Custom Bundle,California Prop 65 Warning,Bulb Life Hours,Bundle Description,Item Height,Item Length,Item Weight,Item Width,Required Tools,
"265603585145","DBMRL485","","Outdoor Lighting","","","Dabmar Lighting","","","","","Green","","","Green","Aluminum","","","","","","","","","","","","","","","","","","DW15-VG","","","","","","","","","","","",
"255453139186","DBMRL494","","Outdoor Lighting","","","Dabmar Lighting","","","","","Black","","","Black","Aluminum","","","","","","","","","","","","","","","","","","DW1900-B-MT","","","","","","","","","","","",
"255453141213","DBMRL498","","Outdoor Lighting","","","Dabmar Lighting","","","","","Black","","","Black","Aluminum","","","","","","","","","","","","","","","","","","DW1975-B","","","","","","","","","","","",
"265603625555","DBMRL487","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Aluminum","","","","","","","","","","","","","","","","","","DW4701-BZ","","","","","","","","","","","",
"255444421797","DBMRL488","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Aluminum","","","","","","","","","","","","","","","","","","DW4701-VG","","","","","","","","","","","",
"255444518459","DBMRL491","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Aluminum","","","","","","","","","","","","","","","","","","DW4751-VG","","","","","","","","","","","",
"255453147061","DBMRL424","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4200-GRL","","","","","","","","","","","",
"255453145146","DBMRL425","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4210-GRL","","","","","","","","","","","",
"265612021762","DBMRL417","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4220","","","","","","","","","","","",
"265612041278","DBMRL427","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","FG4230-GRL","","","","","","","","","","","",
"255453146723","DBMRL419","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4230-MT","","","","","","","","","","","",
"255453140344","DBMRL420","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4280","","","","","","","","","","","",
"255453150038","DBMRL422","","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","FG4290","","","","","","","","","","","",
