Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"265735706179","GDNBR050","","","","Gordon Brush","24","","","0042-00037","","","","","","","",
"255581136396","GDNBR051","","","","Gordon Brush","24","","","0042-00050","","","","","","","",
"265735843866","GDNBR052","","","","Gordon Brush","24","","","0042-00062","","","","","","","",
"255581266421","GDNBR053","","","","Gordon Brush","12","","","0042-00075","","","","","","","",
"255581128927","GDNBR054","","","","Gordon Brush","12","","","0042-01000","","","","","","","",
"255581214485","GDNBR055","","Red Sable","","Gordon Brush","","","","0105-00000","","","","","","","",
"265735707655","GDNBR056","","","","Gordon Brush","","","","0106-00000","","","","","","","",
"265735681301","GDNBR057","","","","Gordon Brush","","","","0107-00000","","","","","","","",
"255580964801","GDNBR058","","","","Gordon Brush","","","","0108-00000","","","","","","","",
"265735874285","GDNBR059","","","","Gordon Brush","","","","0109-00000","","","","","","","",
"265735904031","GDNBR079","","","","Gordon Brush","24","","","0110-00000","","","","","","","",
"265735864238","GDNBR080","","","","Gordon Brush","","","","0111-00000","","","","","","","",
"255581071767","GDNBR081","","","","Gordon Brush","","","","0112-00000","","","","","","","",
"255581088857","GDNBR082","","","","Gordon Brush","","","","0113-00000","","","","","","","",
"255581278037","GDNBR084","","","","Gordon Brush","24","","","0115-00000","","","","","","","",
"265735817448","GDNBR085","","","","Gordon Brush","","","","0116-00000","","","","","","","",
"265735947485","GDNBR086","","","","Gordon Brush","","","","0117-00000","","","","","","","",
"255581011233","GDNBR087","","","","Gordon Brush","","","","0118-00012","","","","","","","",
"255580946150","GDNBR088","","","","Gordon Brush","","","","0118-00025","","","","","","","",
"265735819839","GDNBR089","","","","Gordon Brush","12","","","0119-00000","","","","","","","",
"255580999769","GDNBR159","","","Round","Gordon Brush","12","","","0316-10000","","","","","","","",
"265735711176","GDNBR160","","","Round","Gordon Brush","12","","","0316-12000","","","","","","","",
"265735699394","GDNBR161","","","","Gordon Brush","","","","0317-02000","","","","","","","",
"265735677092","GDNBR162","","","","Gordon Brush","","","","0317-04000","","","","","","","",
"255580991739","GDNBR163","","","","Gordon Brush","24","","","0317-06000","","","","","","","",
"255580991044","GDNBR164","","","","Gordon Brush","24","","","0317-08000","","","","","","","",
"265735698583","GDNBR165","","","","Gordon Brush","24","","","0317-10000","","","","","","","",
"265735914669","GDNBR166","","","","Gordon Brush","12","","","0317-12000","","","","","","","",
"255581129434","GDNBR196","","Red Sable","","Gordon Brush","","","","0430-00200","","","","","","","",
"255580961539","GDNBR197","","Red Sable","","Gordon Brush","","","","0430-00300","","","","","","","",
"255580937386","GDNBR198","","Red Sable","","Gordon Brush","24","","","0430-01000","","","","","","","",
"265735874759","GDNBR199","","Red Sable","","Gordon Brush","24","","","0430-02000","","","","","","","",
"255580964873","GDNBR200","","Red Sable","","Gordon Brush","24","","","0430-03000","","","","","","","",
"265735939523","GDNBR201","","Red Sable","","Gordon Brush","24","","","0430-04000","","","","","","","",
"255581113852","GDNBR202","","Red Sable","","Gordon Brush","24","","","0430-05000","","","","","","","",
"255581120868","GDNBR203","","Red Sable","","Gordon Brush","12","","","0430-06000","","","","","","","",
