Item Id,SKU,Brand,Material,Color,Style,Type,Room,Occasion,Theme,Character Family,Character,Department,Country/Region of Manufacture,Origin,Orientation,Vintage,MPN,Personalize,Additional Parts Required,Battery Type,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Height,Item Length,Item Weight,Item Width,Model,Product Line,Personalization Instructions,
"265669250253","QKWY1254","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003981_BN","","","","","","","","","","","","","","","",
"265669239686","QKWY2152","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003982_PK","","","","","","","","","","","","","","","",
"265897026417","QKWY2150","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003982_YL","","","","","","","","","","","","","","","",
"265887815558","WYBN2242","Wayborn","","Red","","Storage","","","","","","","","","","","5724R","","","","","","","","","","","","","","","",
"255509856778","WYBN883","Wayborn Furniture","","","","Storage","","","","","","","","","","","5653B","","","","","","","","","","","","","","","",
"255524231563","WYBN742","Wayborn Furniture","","","","Storage","","","","","L","","","","","","9006","","","","","","","","","","","","","","","",
"255524259530","WYBN2261","Wayborn Home Furnishings","","Black","","Storage","","","","","","","","","","","5724B","","","","","","","","","","","","","","","",
"265674069667","WYBN2244","Wayborn","","White","","Storage","","","","","","","","","","","JC002W","","","","","","","","","","","","","","","",
"255509759163","WYBN2245","Wayborn","","White","","Storage","","","","","","","","","","","JC004W","","","","","","","","","","","","","","","",
"265698065751","WYBN2246","Wayborn","","White","","Storage","","","","","","","","","","","JC007W-36","","","","","","","","","","","","","","","",
"255528960081","WYBN2247","Wayborn","","White","","Storage","","","","","","","","","","","JC008W","","","","","","","","","","","","","","","",
"265639785593","ZX9CSML9583","PatioPlus","Nylon","White","","Furniture & Decor","","","","","","","","","","","PA2088761","","","","","","","","","","","","","","","",
"265665516586","WLMX536","WILMAX","","White","","Storage","","","","","","","","","","","WL-996007 / A","","","","","","","","","","","","","","","",
"265897197518","WLMX537","WILMAX","","White","","Storage","","","","","","","","","","","WL-996008 / A","","","","","","","","","","","","","","","",
"255509760143","WLMX538","WILMAX","","White","","Storage","","","","","","","","","","","WL-996009 / A","","","","","","","","","","","","","","","",
"255737861094","ZX9AT186","ManMade","","","","Decor","","","","","","","","","","","MA38126","","","","","","","","","","","","","","","",
"265887760556","ZX9SFC502","Work-of-Art","Wood","","","Storage","","","","","","","","","","","WO124618","","","","","","","","","","","","","","","",
"265897253437","ZX9OCNTR38038","PalaceDesigns","","","","Home Decor","","","","","","","","","","","PA2627305","","","","","","","","","","","","","","","",
