Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255489040187","JECO4997","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CFZ-022_6","","","","","","","",
"255513029685","JECO4775","Decor","Jeco","","","","","","","","2","","","","","","","","","","","","CFZ-024_12","","","","","","","",
"255523993854","JECO4773","Decor","Jeco","","","","","","Pink","","2","","","","","","","","","","","","CFZ-026_12","","","","","","","",
"255509658742","JECO5304","Decor","Jeco","","","","","","Pink","","2","","","","","","","","","","","","CFZ-026_4","","","","","","","",
"255728930878","JECO4772","Decor","Jeco","","","","","","Yellow","","2","","","","","","","","","","","","CFZ-027_12","","","","","","","",
"255489057406","JECO5305","Decor","Jeco","","","","","","Yellow","","2","","","","","","","","","","","","CFZ-027_4","","","","","","","",
"265669422285","JECO4770","Decor","Jeco","","","","","","Red","","2","","","","","","","","","","","","CFZ-029_12","","","","","","","",
"265644843167","JECO5307","Decor","Jeco","","","","","","Red","","2","","","","","","","","","","","","CFZ-029_4","","","","","","","",
"265729936534","JECO4769","Decor","Jeco","","","","","","Red","","2","","","","","","","","","","","","CFZ-030_12","","","","","","","",
"255541844566","JECO4767","Decor","Jeco","","","","","","","","2","","","","","","","","","","","","CFZ-032_12","","","","","","","",
"255541813341","JECO4765","Decor","Jeco","","","","","","","","2","","","","","","","","","","","","CFZ-034_12","","","","","","","",
"265684624979","JECO4764","Decor","Jeco","","","","","","Blue","","2","","","","","","","","","","","","CFZ-035_12","","","","","","","",
"265690603716","JECO4762","Decor","Jeco","","","","","","Green","","2","","","","","","","","","","","","CFZ-037_12","","","","","","","",
"265690709800","JECO4761","Decor","Jeco","","","","","","Green","","2","","","","","","","","","","","","CFZ-038_12","","","","","","","",
"255489058777","JECO5315","Decor","Jeco","","","","","","Green","","2","","","","","","","","","","","","CFZ-038_4","","","","","","","",
