Item Id,SKU,Type,Brand,Material,Frame Material,Color,Number of Vents,Item Width,Number of Pieces,Features,Item Depth,Country/Region of Manufacture,Item Height,Shape,Style,Door Width,Base Included,Fixings Supplied,Manufacturer Warranty,Door Height,MPN,Assembly Required,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"265634262535","RVNI022","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-16-SC","","","","","",
"255483944558","RVNI023","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-20-SC","","","","","",
"255488836130","RVNI024","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-24-SC","","","","","",
"265644615478","RVNI020","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-8-SC","","","","","",
"265634275910","ZX9RVNI131","Furniture & Decor","GrillGear","","","","","","10","","","","","","","","","","","","GR29442","","","","","",
"255483936971","RVNI2035","Furniture & Decor","RSI","","","","","","","","","","","","","","","","","","RSI-16EF","","","","","",
"255483887889","SHLTL288","Greenhouse","ShelterLogic","","","","3","","3","","","","","","","","","","","","70656","","","","","",
"265644504893","SHLTL318","Furniture & Decor","ShelterLogic","","","","5","","5","","","","","","","","","","","","70658","","","","","",
"255488655594","BAZ1864","Furniture & Decor","True Shelter","","","","","","6","","","","","","","","","","","","GH68","","","","","",
"255509707753","UBNT9934","Wall Art","Urban Trends Collection","","Metal","","","","","","","","","","","","","","","","36184","","","","","",
"265644892489","UBNT9936","Wall Art","Urban Trends Collection","","Metal","","","","","","","","","","","","","","","","36189","","","","","",
"265644529396","ZX9ZNPT1383","Furniture & Decor","GardenCare","","","","3","","3","","","","","","","","","","","","GA2083750","","","","","",
"265644626095","ZNPT1452","Furniture & Decor","Zenport Industries","","","","","","","","","","","","","","","","","","SH3270-12.5-10PK","","","","","",
"255488791269","ZNPT1383","Furniture & Decor","Zenport Industries","","","","","","","","","","","","","","","","","","SH7901-BASE-3PK","","","","","",
"265639621188","ZNPT844","Furniture & Decor","Zenport","","","","","","10","","","","","","","","","","","","SH3212A-10PK","","","","","",
"255476953109","ZNPT504","Furniture & Decor","Zenport","","","","","","10","","","","","","","","","","","","SH3240-10PK","","","","","",
