Item Id,SKU,Type,Fuel Type,Indoor/Outdoor,Items included,Shape,Brand,Material,Size,Color,Cooking Area Width,Finish,Cooking Area Length,Item Height,Mounting,Item Width,Item Diameter,Item Depth,Style,Features,Country/Region of Manufacture,Year Manufactured,Required Tools,Assembly Required,Item Weight,Manufacturer Warranty,MPN,Model,California Prop 65 Warning,Custom Bundle,Bundle Description,Power,
"255476971612","PTN035","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F213","","","","","",
"255488818771","PTPR028","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F215","","","","","",
"255483694443","PTPR030","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F217","","","","","",
"265644507749","PTPR031","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F218","","","","","",
"255483663340","PTN036","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F219","","","","","",
"265639657959","PTN037","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F232","","","","","",
"265639655940","PTN038","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F233","","","","","",
"255483919051","PTN039","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F235","","","","","",
"265634275183","PTN040","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F236","","","","","",
"255488848594","PTN041","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F237","","","","","",
"255488733747","PTN042","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F238","","","","","",
"255488657921","PTN043","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F239","","","","","",
