Item Id,SKU,Socket Type,Brand,Form Factor,Compatible CPU Brand,Most Suitable For,Number of Memory Slots,Memory Type,Model,Expansion Slots,Input/Output Ports,Features,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264649040024","101816","","Compaq","","","","","","","","","","","FIC-AZ31-Uwave-217155-002","","","","","","","",
"254528489775","106988","Slot 2","Dell","","","","2","","","","","","","00024048","","","","","","","",
"264663442129","110624","","Dell","","","","1","","","PCI","","","","Does Not Apply","","","","","","","",
"264662518752","100925","Slot 1","DFI","ATX","","","1","","","ISA","","","","686IPK","","","","","","","",
"254568181361","107183","Socket 370","DFI","","","","3","","","ISA","","","","CM64-AL/G-(Brand-New)","","","","","","","",
"254537471118","110529","Socket 7","DFI","AT","","","4","","","","","","","ITOX-G586OPA","","","","","","","",
"254729811272","100896","Slot 1","DFI","ATX","","","1","","","","","","","P2XBL-Slot-1-Motherboard","","","","","","","",
"254093275059","100891","Socket 7","DFI","AT","","","2","","","","","","","P5BV3+","","","","","","","",
"264663439590","108715","Socket 5","DTK","AT","","","4","","","","","","","PAM-0035S","","","","","","","",
"254093275292","101027","","ECS","","","","","","","","","","","K7SEM","","","","","","","",
"264662518836","101009","Socket 462/A","ECS","MicroATX","AMD","","2","DDR1 SDRAM","K7VMM","","","","","K7VMM","","","","","","","",
"264161240145","101667","Socket 478","ECS","","","","","","","","","","","P4VMM2","","","","","","","",
"264154255067","100552","Socket 7","ECS","AT","","","","","","","","","","P5SV-B","","","","","","","",
"254093275813","101655","Slot 1","ECS","","","","1","","","","","On-Board Audio","","P6SE-ML","","","","","","","",
"264161240493","101680","","ECS","","","","","","","","","","","P6SEP-ME","","","","","","","",
"264161239865","101649","Socket 7","ECS","AT","","","3","","","ISA","","","","SI56P-AVIO","","","","","","","",
"254536741522","101599","Socket 7","EFA","AT","Intel","","4","","","ISA","","","","P5TVX-AT","","","","","","","",
"264161276722","110104","Socket 478","emachines","","","","","","","","","","","20030812","","","","","","","",
"264662518339","100481","Socket 370","emachines","","","","2","","","ISA","","","","Trigem-Florida-TG","","","","","","","",
"254537469474","108673","Socket 7","EPoX","AT","","","1","","","","","","","EP-5BVPXA","","","","","","","",
"264161266047","107815","Socket 7","EPoX","AT","","","2","","","ISA","","","","P55-KV","","","","","","","",
"264161266768","108307","Socket 7","EPoX","AT","","","3","","","ISA","","","","P55-SA","","","","","","","",
"264161275994","109702","Socket 7","EPoX","AT","Intel","","4","","","","","","","P55-VX","","","","","","","",
"264161242922","101901","Socket 5","FIC","AT","","","","","","","","","","PA-2000","","","","","","","",
"264870987808","101899","Socket 7","FIC","Baby AT","AMD,Intel","","6","EDO DRAM","Apollo MVP3","ISA","","","","VA-503+","","","","","","","",
