Item Id,SKU,Type,Brand,Color,Material,Suitable For,Features,Finish,Style,Items included,Number in Pack,Shape,Door Handing,Fixings Supplied,Item Height,Country/Region of Manufacture,Knob Diameter,Item Width,Item Depth,Item Length,Model,MPN,California Prop 65 Warning,Custom Bundle,Bundle Description,Item Weight,Manufacturer Warranty,
"265639665203","TPNTD243542","Furniture & Decor","Baldwin Estate","","Brass","","","Satin","","","","","","","","","","","","","","K012050MR","","","","","",
"255488724353","TPNTD243543","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K012055MR","","","","","Lifetime",
"265639526607","TPNTD243038","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K012150MR","","","","","",
"265639764896","TPNTD243544","Furniture & Decor","Baldwin Estate","Black","","","","Satin","","","","","","","","","","","","","","K012190MR","","","","","",
"255483873805","TPNTD243039","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013003MR","","","","","",
"255488764243","TPNTD243040","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013031MR","","","","","",
"265644484089","TPNTD243041","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013044MR","","","","","",
"265639572633","TPNTD243042","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013050MR","","","","","",
"255488823247","TPNTD243043","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013055MR","","","","","",
"255483768782","TPNTD243045","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013112MR","","","","","",
"265639633582","TPNTD243046","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013150MR","","","","","",
"265639715798","TPNTD243047","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013190MR","","","","","",
"255483939198","TPNTD243048","Furniture & Decor","Baldwin Estate","","","","","","","","","","","","","","","","","","","K013260MR","","","","","",
"265639629204","ZX9TPNTD237861","Furniture & Decor","PatioPlus","Black","","","","","","","","","","","","","","","","","","PA2030572","","","","","",
"265644487950","ZX9TPNTD239711","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2057498","","","","","",
"265644583056","ZX9TPNTD239712","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2005188","","","","","",
"255476926676","ZX9TPNTD240725","Furniture & Decor","Gan Eden","","","Commercial","","Satin","","","","","","","","","","","","","","GA1630004","","","","","",
"265644644843","TPNTD235144","Furniture & Decor","Corbin Russwin","","","","","","","","","","","","","","","","","","","ML2022LL626","","","","","",
"265639571772","TPNTD235150","Furniture & Decor","Corbin Russwin","","","","","","","","","","","","","","","","","","","ML2051LWM626M31","","","","","",
"265639658528","ZX9TPNTD235144","Furniture & Decor","New CourtYard","","","","","","","","","","","","","","","","","","","NE2001619","","","","","",
"265639815788","TPNTD235272","Furniture & Decor","Emtek","","Nickel","Pocket Door","","Satin","","","","","","","","","","","","","","2103US15134","","","","","",
"265639516414","TPNTD235274","Furniture & Decor","Emtek","","Nickel","Pocket Door","","Satin","","","","","","","","","","","","","","2105US15134","","","","","",
"255483797486","TPNTD235276","Furniture & Decor","Emtek","","Chrome","Pocket Door","","","","","","","","","","","","","","","","2105US26134","","","","","",
"255483661302","TPNTD235277","Furniture & Decor","Emtek","","Chrome","Pocket Door","","","","","","","","","","","","","","","","2105US26138","","","","","",
"255488734866","TPNTD235279","Furniture & Decor","Emtek","","","Pocket Door","","","","","","","","","","","","","","","","2115US15134","","","","","",
"265644624806","TPNTD235280","Furniture & Decor","Emtek","","","Pocket Door","","","","","","","","","","","","","","","","2115US15138","","","","","",
"265634296016","TPNTD235385","Furniture & Decor","Emtek","","Bronze","","","Bronze","","","2","","","","","","","","","","","7106WCMB","","","","","",
