Item Id,SKU,Type,Sensor Type,Style,Brand,Room,Lighting Technology,Material,Number of Settings,Finish,Color,Cord Color,Light Color,Shade Shape,Power Source,Features,Installation Area,Manufacturer,Voltage,IP Rating,Theme,Pattern,Item Diameter,Energy Star,Number of Lights,Year Manufactured,Occasion,Country/Region of Manufacture,Amperage,Light Direction,Output Voltage,Department,Personalized,LED Chip Code,Color Temperature,Assembly Required,Era,Labels & Certifications,Lumens,Manufacturer Warranty,Power Consumption,Control Style,LED String/Strip Type,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Model,Number of Speeds,Product Line,
"265899033365","WTFHM1978","Ceiling Lights","","","Warehouse of Tiffany","","","Glass","","Stained","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TF473-16RH","","","","","","","","","","","",
"255463213679","WTNGL5191","Ceiling Lights","Light","","Westinghouse Lighting","","","Brass","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6352700","","","","","","","","","","","",
"255463201709","WTNGL5195","Ceiling Lights","Light","","Westinghouse Lighting","","","Nickel","6","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6353100","","","","","","","","","","","",
"265621869407","WTNGL5440","Ceiling Lights","Light","","Westinghouse Lighting","","","Pewter","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6367700","","","","","","","","","","","",
"265621862181","WTNGL5448","Ceiling Lights","Light","","Westinghouse Lighting","","","Nickel","4","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6368500","","","","","","","","","","","",
"265621866181","WTNGL5451","Ceiling Lights","Light","","Westinghouse Lighting","","","Iron","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6368800","","","","","","","","","","","",
"255463185117","WTNGL5457","Ceiling Lights","Light","","Westinghouse Lighting","","","Glass","6","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6369400","","","","","","","","","","","",
"255463184859","WTNGL5485","Ceiling Lights","","","Westinghouse Lighting","","LED","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6372200","","","","","","","","","","","",
"265621884078","WTNGL4803","Ceiling Lights","Light","","WestinghouseLighting","","","","6","","","","","","","","Indoor","","","","","","","","","","","","","","","","","","","","","","","","","","","6325300","","","","","","","","","","","",
"265621861939","WTNGL4823","Ceiling Lights","Light","","WestinghouseLighting","","","","4","","","","","","","","Indoor","","","","","","","","","","","","","","","","","","","","","","","","","","","6328000","","","","","","","","","","","",
"255463186938","WTNGL4825","Ceiling Lights","Light","","WestinghouseLighting","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6328200","","","","","","","","","","","",
"255463218357","LIVEX3345","Ceiling Lights","","","Weston","","","Nickel","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52103-35","","","","","","","","","","","",
