Item Id,SKU,Type,Brand,Room,Style,Sensor Type,Material,Color,Number of Settings,Cord Color,Lighting Technology,Power Source,Shade Shape,Finish,Theme,Features,Character Family,Pattern,Character,Manufacturer,Control Style,Energy Star,Department,Country/Region of Manufacture,Voltage,Amperage,Item Diameter,Year Manufactured,Personalize,Personalized,Output Voltage,Assembly Required,Labels & Certifications,Era,Color Temperature,Lumens,IP Rating,Light Color,MPN,EC Range,Bulb Life Hours,Bulb Shape Code,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Manufacturer Warranty,Model,Number of Speeds,Power Consumption,Product Line,Personalization Instructions,
"265632713911","ZX9ORE2514","Lamps","YhiOr","","","","Wood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH422312","","","","","","","","","","","","","","","","",
"255474898729","ZX9ORE2515","Lamps","YhiOr","","","","Wood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH434125","","","","","","","","","","","","","","","","",
"265632706553","ZX9ORE2506","Lamps","YhiOr","","","","","White","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH413960","","","","","","","","","","","","","","","","",
"255471805454","ZX9ORE927","Lamps","Cling","","Modern","","Marble","Silver","","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1401755","","","","","","","","","","","","","","","","",
"255471765984","ZX9ORE042","Lamps","Cling","","","","Steel","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","CL106040","","","","","","","","","","","","","","","","",
"265629869797","ZX9DRL493","Lamps","LetThereBeLight","","","","Steel","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","LE1338315","","","","","","","","","","","","","","","","",
"265632737617","ZX9ORE2507","Lamps","YhiOr","","","","Crystal","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH106103","","","","","","","","","","","","","","","","",
"265629954456","ZX9ORE2331","Lamps","YhiOr","","","","","Black","5","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1644830","","","","","","","","","","","","","","","","",
"265632727417","ZX9ORE2377","Lamps","YhiOr","","","","Marble","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1607455","","","","","","","","","","","","","","","","",
"265632673204","ZX9ORE430","Lamps","Cling","","","","Marble","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL26807","","","","","","","","","","","","","","","","",
"265629895649","DRL493","Lamps","Altra","","","","Steel","","","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","00ORE3031F5W","","","","","","","","","","","","","","","","",
"265634178662","ZX9ORE040","Lamps","Cling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106039","","","","","","","","","","","","","","","","",
"255476772135","AUTHMD2154","Wall Lamps","Authentic Models","","","","Aluminum","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","SL074","","","","","","","","","","","","","","","","",
"265634165781","ZX9PA250","Lamps","BrilliantBulb","","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR1600239","","","","","","","","","","","","","","","","",
"255474862301","ZX9PA182","Lamps","BrilliantBulb","","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR434665","","","","","","","","","","","","","","","","",
"255471753768","ISN56121","Lamps","Charge Xpress","","","","","Red","","Red","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCUSL175RU","","","","","","","","","","","","","","","","",
"265629918289","CHL952","Lamps","Chloe Lighting","","","Light","","","1","","","","","","","","","","Belle","","","","","","","","","","","","","","","","","","","","CH31315MI11-RF1","","","","","","","","","","","","","","","","",
"255474939827","CHL956","Lamps","Chloe Lighting","","","Light","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH33293MS11-RF1","","","","","","","","","","","","","","","","",
"255474974475","CHL955","Lamps","Chloe Lighting","","","Light","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH33353VR11-RF1","","","","","","","","","","","","","","","","",
"265629946955","CHL1371","Lamps","Chloe Lighting","","Victorian","Light","Bronze","","1","","","","","","","","","","Anna","","","","","","","","","","","","","","","","","","","","CH3T083AV18-FL2","","","","","","","","","","","","","","","","",
"255474888837","ZX9ORE061","Lamps","Cling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106044","","","","","","","","","","","","","","","","",
"265632736027","ZX9PATIO122","Lamps","BrilliantBulb","","","","","White","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR819810","","","","","","","","","","","","","","","","",
"255476814677","ZX9PATIO1708","Lamps","BrilliantBulb","","","","Fabric","White","","White","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR1609362","","","","","","","","","","","","","","","","",
"255471815511","ZX9PATIO1717","Lamps","BrilliantBulb","","","","Bamboo","White","","White","LED","","","Natural","","","","","","","","","","","","","","","","","","","","","","","","","BR1645003","","","","","","","","","","","","","","","","",
"265632715736","ZX9PATIO1720","Lamps","BrilliantBulb","","","","Resin","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR1609979","","","","","","","","","","","","","","","","",
"265629890710","ZX9ORE509","Lamps","Cling","","Contemporary","","Metal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106149","","","","","","","","","","","","","","","","",
"265621888415","DBMRL7166","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW1213-GRL","","","","","","","","","","","","","","","","",
"265621889500","DBMRL7162","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW1225","","","","","","","","","","","","","","","","",
"255463262644","DBMRL7163","Wall Lamps","Dabmar Lighting","","","Light","Stainless Steel","","","","","","","Stainless","","","","","","","","","","","","","","","","","","","","","","","","","DW1225-GRL","","","","","","","","","","","","","","","","",
"265621903176","DBMRL5298","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW4751-LED18S-SS304","","","","","","","","","","","","","","","","",
"255463258765","DBMRL5309","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW4780-LED18S-B","","","","","","","","","","","","","","","","",
"265621894385","DBMRL5310","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW4780-LED18S-BZ","","","","","","","","","","","","","","","","",
"265621900117","DBMRL5311","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW4780-LED18S-GY","","","","","","","","","","","","","","","","",
"255463263302","DBMRL5312","Wall Lamps","Dabmar Lighting","","","Light","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DW4780-LED18S-VG","","","","","","","","","","","","","","","","",
