Item Id,SKU,Color,Size,Brand,Type,Weave,Regional Design,Shape,Material,Production Technique,Room,Style,Pattern,Theme,Features,Pile Height,Country/Region of Manufacture,Item Width,Care Instructions,Pile Type,Department,Handmade,Personalize,Personalized,Era,Item Length,Time Period Manufactured,Original/Reproduction,Item Thickness,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265695207869","ZX9GTMY11975","","","Micasa","Rugs","","","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1552341","","","","","",
"265679926964","ZX9GTMY11954","","","Micasa","Rugs","","","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1554717","","","","","",
"265669160995","ZX9GTMY11992","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","","Floral","","","","","","","","","","","","","","","","","MI1559002","","","","","",
"255518040619","ZX9GTMY11996","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","","Floral","","","","","","","","","","","","","","","","","MI1542340","","","","","",
"265669210306","ZX9GTMY11926","Gold","","Micasa","Rugs","","","","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1782615","","","","","",
"255488943575","ZX9GTMY12020","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1552342","","","","","",
"265665635383","ZX9GTMY12024","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1542342","","","","","",
"255509914715","ZX9GTMY13679","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1557635","","","","","",
"255541788455","ZX9GTMY11941","Blue","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1553343","","","","","",
"265697852792","ZX9GTMY13703","Blue","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1556909","","","","","",
"265669315156","ZX9GTMY13683","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1553380","","","","","",
"255513535071","ZX9GTMY13687","Gold","","Micasa","Rugs","","","Rectangle","","Knotted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1557636","","","","","",
"265665367058","ZX9GTMY8521","Gold","","Micasa","Area Rugs","","","Rectangle","","Tufted","","","Floral","","","","","","","","","","","","","","","","","MI1814092","","","","","",
"265665393599","ZX9GTMY13337","","","Micasa","Rugs","","","Rectangle","Polyester","Tufted","","Contemporary","","","","","","","","","","","","","","","","","","MI1550701","","","","","",
"255539035265","ZX9GTMY12117","Black","","Micasa","Rugs","","","","Polyester","Tufted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI1786539","","","","","",
