Item Id,SKU,Material,Brand,Subject,Theme,Type,Style,Color,Size,Shape,Character Family,Character,Room,Country/Region of Manufacture,Mounting,Department,Personalize,Additional Parts Required,Features,Item Width,Item Height,Item Length,Glassmaking Technique,Battery Type,Finish,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Weight,Model,Product Line,Personalization Instructions,
"265887598773","ZX9EPAD1958","","Solid Storage Supplies","","","Decor","","Gold","","","","","","","","","","","","","","","","","","SO2573299","","","","","","","","","",
"255509973320","ZX9SPIHM144","","Ricki\'s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI126654","","","","","","","","","",
"265884041316","ZX9SPIHM2968","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2488203","","","","","","","","","",
"265884148597","TWSCM1204","","Tozai Home","","","Decor","","","","","","","","","","","","","","","","","","","","HIT914-S2","","","","","","","","","",
"265883810673","OCNTR40302","","Home Roots","","","Decor","","","","","","","","","","","","","","","","","","","","364260","","","","","","","","","",
"265887823448","OCNTR40299","","Home Roots","","","Decor","","","","","","","","","","","","","","","","","","","","364263","","","","","","","","","",
"255728676036","OCNTR12748","Silver","HomeRoots","","","Decor","Modern","Silver","","","","","","","","","","","","","","","","","","284041","","","","","","","","","",
"255728577876","OCNTR12909","Silver","HomeRoots","","","Decor","Modern","Silver","","","","","","","","","","","","","","","","","","284045","","","","","","","","","",
"265887731595","OCNTR12738","Silver","HomeRoots","","","Decor","Modern","Silver","","","","","","","","","","","","","","","","","","284046","","","","","","","","","",
"265887528226","OCNTR12755","","HomeRoots","","","Decor","Modern","White","","","","","","","","","","","","","","","","","","284060","","","","","","","","","",
"255725014746","OCNTR32254","","HomeRoots","","","Decor","","","","","","","","","","","","","","","","","","","","354630","","","","","","","","","",
"265884084519","OCNTR38365","","HomeRoots","Pirate","","Decor","","Black","","","","","","","","","","","","","","","","","","366191","","","","","","","","","",
"265730061962","ZX9EPAD2722","","Solid Storage Supplies","","","Decor","","","","","","","","","","","","","","","","","","","","SO1727260","","","","","","","","","",
"265597097991","IWD7308","","IWGAC","","","Gifts","","","Large","","","","","","","","","","","","","","","","","0170K-04738","","","","","","","","","",
"255725103360","ZX9SPIHM3002","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2490949","","","","","","","","","",
"265684582517","KLKL213","","Kalalou","Fish","","Decor","","","","","","","","","","","","","","","","","","","","CMX2246","","","","","","","","","",
"255509681432","MRNP038","Bronze","Marian Imports","Eagle","","Decor","","","","","","","","","","","","","","","","","","","","51116","","","","","","","","","",
"255513165087","MLRS4004","","Melrose International","","","Decor","","","","","","","","","","","","","","","","","","","","78426","","","","","","","","","",
"265887520175","ZX9SPIHM313","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2468273","","","","","","","","","",
"255737914590","ZX9OCNTR12909","Silver","PalaceDesigns","","","Decor","Modern","Silver","","","","","","","","","","","","","","","","","","PA2474560","","","","","","","","","",
"255728789131","ZX9OCNTR12755","","PalaceDesigns","","","Decor","Modern","White","","","","","","","","","","","","","","","","","","PA2475819","","","","","","","","","",
"255728868333","MSHMCL623","","Moes Home Collection","","","Decor","","","","","","","","","","","","","","","","","","","","HW-1018-30","","","","","","","","","",
"265897005116","MSHMCL4724","","Moes Home Collection","","","Decor","","","","","","","","","","","","","","","","","","","","LA-1060-02","","","","","","","","","",
"265883803474","MSHMCL5992","","Moes Home Collection","","","Decor","","","","","","","","","","","","","","","","","","","","LA-1075-30","","","","","","","","","",
"255724911039","MSHMCL4382","","Moes","","","Decor","Antique","","","","","","","","","","","","","","","","","","","ZY-1012-01","","","","","","","","","",
"265883949572","ZX9SPIHM3031","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2490951","","","","","","","","","",
"265884089816","ZX9TWSCM1110","Resin","Vecindario","","","Decor","","Silver","","","","","","","","","","","","","","","","","","VE2673752","","","","","","","","","",
